	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
13	4.319068727	2.832363461	4.364691485	2.481350613	9.421197627	2.72410452	2.911519023	7.704460478
51166	7.176173149	4.009167989	6.385040974	5.790639125	4.186207362	6.448820028	5.703363759	6.77958148
79719	9.569646972	9.664646741	9.926535287	9.885681428	10.4588696	9.364830221	9.86214868	9.701929849
22848	9.728821687	10.4000299	10.03144413	9.809814905	9.796900263	9.404365646	10.20463276	9.841453645
14	10.65859193	10.45559981	11.21111054	11.45657532	11.18835178	11.17190747	10.4764467	10.66326082
15	0.559736524	1.396543134	0.502941568	2.301382787	0	0	0	0.386810946
57505	9.491049772	8.64581296	8.669510843	8.754303293	9.409003054	8.675429594	7.916876077	8.187909741
80755	8.635705063	8.074523633	7.963279902	8.908006149	8.585541341	8.392116891	7.994792402	8.287825944
16	9.971551026	10.48548026	11.81286126	11.69807324	10.60380908	11.59738689	11.04779472	10.54619252
60496	8.654494616	9.600102462	9.080835378	8.467522817	8.923588365	9.276180949	9.846898343	9.128705823
132949	6.447410586	8.025647877	6.920205154	6.853045011	8.223275319	6.718349295	7.601294639	7.087507394
10157	6.431653043	7.755568614	6.833175994	4.730112773	6.072710371	6.900923549	6.589829389	7.913956895
26574	10.92795066	10.12951963	10.39492137	11.84322053	10.31243976	9.923466399	10.4203147	10.10099775
9625	8.699685227	5.714525785	6.751768981	10.43945941	10.45654211	10.16159813	5.274067798	9.573040446
18	5.282469459	8.140699424	7.317248888	8.491346461	8.459005715	9.098794562	6.435265208	9.15306911
10349	4.097298966	6.791760685	2.24899016	2.641314809	3.416488481	2.244369544	4.229595613	4.304445331
79963	8.031878712	6.537765084	5.247821206	4.04733771	6.872970314	7.451118776	5.326742262	6.029163523
26154	7.674900551	9.172223467	6.617274971	6.337982196	6.103117823	0	7.034739548	4.841842325
154664	5.134578283	4.305642267	3.088650454	6.417504876	6.266518587	1.319213275	0	7.28249448
650655	2.741596419	2.456753591	0.502941568	4.367818344	1.053319904	4.703028696	0	1.343464676
19	8.000098055	10.86058343	10.62373593	8.659564981	9.724715578	7.601926747	10.58901982	10.51105258
20	10.65053122	10.48712223	10.91928391	10.4837254	11.24675977	11.06394313	9.07961998	10.13256386
21	4.511246634	8.76311076	5.776114519	8.750206184	6.325737187	10.52028827	9.102630577	6.683574353
24	1.276198865	2.092647217	1.415866811	1.567837462	1.65558081	1.085084679	0	1.343464676
23461	8.84201619	8.69370021	5.84053373	6.885370586	7.889964457	7.924035733	6.429210882	7.857686207
23460	3.101683689	8.087571039	5.990015442	0	6.524179674	3.519453841	5.713363143	6.36622778
10347	9.198077629	7.528833049	7.149396563	8.563044462	8.289225838	8.433263694	7.405475925	8.152485639
10351	0	9.003503576	6.116811786	0.726744042	6.351296166	3.961567768	3.987366347	3.119057314
10350	2.932835996	7.305084976	6.509133664	1.855790416	5.483093443	3.018420531	6.523169866	4.917193037
23456	9.644182382	8.840938389	8.490528415	8.791303569	9.275281812	10.00130291	9.220391872	8.40108985
8647	1.276198865	1.786178129	0	0	0.441908364	1.697329024	4.700944573	0.386810946
5243	6.678608589	8.626751954	4.993778507	5.158199667	7.723792666	6.430178204	7.293274831	7.605418772
5244	3.252809222	5.253342631	3.460663941	1.207767938	3.151420488	1.319213275	2.765365008	4.348671507
340273	0	1.396543134	0.875072301	0	3.938935	2.353916058	2.091564443	0.691623493
10058	8.955682161	7.375429602	7.990529475	5.951496878	10.13286135	9.795092864	7.438648823	7.735852486
22	8.63053798	9.642714747	8.284051372	7.875237599	9.035227719	8.290707765	8.666114975	8.442487814
11194	9.484382065	8.928140516	9.789798033	9.783255611	10.06701023	9.781160509	9.284683929	8.48520944
23457	7.513837323	6.399449692	6.211438629	8.032928987	7.538797316	6.58874911	6.601507849	8.09891007
89845	9.469025132	9.053122472	9.266184511	9.158355964	8.741068168	10.00445673	8.812861741	9.124737557
85320	0.961993677	0	0.875072301	0	1.951363988	1.085084679	1.061707085	0.386810946
94160	0	0	0	0.726744042	4.975717303	0	0	0.386810946
150000	0	1.60445093	1.170694234	0	5.756131958	4.878293743	0	2.407461527
4363	9.069061147	11.06489396	12.39243984	10.85360423	11.73113499	10.87671055	10.96153174	10.95749764
1244	2.396734918	2.560225822	0.875072301	0	7.54429295	6.702901296	1.292663973	2.026906266
8714	11.66553254	9.454110487	12.75402979	12.55585957	13.82340113	12.41933755	11.27008977	12.2515478
10257	8.604420536	8.754955628	7.878887157	6.406409116	10.55170826	7.409153296	10.69942844	8.967891676
10057	9.157938294	9.45662691	9.112703781	11.86263201	10.00193282	9.34837651	8.560660317	10.19293892
